isotope,S11A,S12A,S13A,S15A,S18A,S19A,S20A,S22A,S25A,S30A,S30B,S35A,S35B,S35C,S40A,S40B,S40C
10B,3.17e-09,2.63e-09,4.72e-09,4.96e-09,2.83e-09,2.57e-09,2.53e-09,2.58e-09,2.76e-09,2.9e-09,2.9e-09,3.18e-09,3.19e-09,3.19e-09,3.11e-09,3.11e-09,3.11e-09
11B,4.89e-07,4.62e-07,4.49e-07,9.48e-07,1.49e-06,1.85e-06,1.55e-06,1.49e-06,1.78e-06,8.55e-07,7.41e-07,5.39e-07,5.89e-07,5.69e-07,3.79e-07,6.04e-07,5.99e-07
11C,1.54e-07,1.67e-07,3.46e-07,3.06e-07,3.73e-07,7.79e-07,3.01e-07,4.65e-07,6.16e-07,3.14e-07,3.43e-07,3.73e-07,4.63e-07,4.65e-07,3.76e-07,5.76e-07,6.01e-07
12C,0.0532,0.0805,0.114,0.161,0.248,0.284,0.213,0.241,0.322,0.286,0.29,0.301,0.32,0.32,0.313,0.363,0.368
13C,0.000961,0.00102,0.00114,0.00129,0.00135,0.00133,0.00133,0.00139,0.00145,0.00159,0.00159,0.00165,0.00165,0.00165,0.00162,0.00162,0.00162
14C,1.71e-05,3.97e-06,5.32e-06,8.15e-06,2.91e-05,1.31e-05,5.16e-06,4.3e-06,3.66e-06,1.8e-06,1.88e-06,1.72e-06,1.81e-06,1.8e-06,2.05e-06,2.15e-06,2.12e-06
14N,0.0367,0.036,0.0468,0.054,0.0568,0.0571,0.0598,0.0673,0.0793,0.104,0.104,0.125,0.125,0.125,0.141,0.141,0.141
15N,6.16e-05,9.76e-05,4.47e-05,0.000149,0.000152,0.000124,0.000141,0.00017,0.000229,0.000165,0.000215,0.000125,0.00027,0.000289,9.06e-05,0.000291,0.00034
16O,160.0,0.136,0.21,0.272,0.68,1.13,1.43,1.94,2.38,3.65,4.88,3.07,5.82,6.36,2.36,6.03,7.63
17O,0.000519,0.000528,0.000533,0.000592,0.000824,0.000846,0.000851,0.000916,0.00101,0.00106,0.00106,0.00129,0.00129,0.00129,0.00123,0.00123,0.00123
18O,0.00347,0.00836,0.00229,0.00438,0.0149,0.016,,,,0.000586,0.000574,0.000312,0.000309,0.000308,0.000231,0.000231,0.00023
19F,1.29e-05,3.47e-05,8.88e-06,3.45e-05,9.21e-05,2.64e-05,2.83e-05,4.87e-05,0.000133,0.000105,0.000107,0.000163,0.000226,0.000221,0.000168,0.000298,0.000292
1H,5.59,5.96,6.32,6.98,7.89,8.08,8.24,8.79,9.4,10.5,10.5,11.5,11.5,11.5,11.1,11.1,11.1
20Ne,0.0312,0.0232,0.0446,0.111,0.277,0.106,0.105,0.0702,0.394,0.381,0.432,0.515,0.888,0.881,0.448,1.24,1.29
21Ne,0.000178,0.000157,0.000577,0.000449,0.00083,0.000594,0.000372,0.000521,0.000629,0.000301,0.000327,0.000548,0.000803,0.0008,0.000575,0.00126,0.00129
22Na,2.14e-07,8.44e-08,1.45e-07,1.09e-06,3.76e-06,7.91e-07,2.96e-07,2.94e-07,3.43e-06,1.68e-06,1.94e-06,3.17e-06,5.81e-06,5.73e-06,3.6e-06,1.01e-05,1.02e-05
22Ne,0.00247,0.00603,0.0035,0.00737,0.0164,0.0185,0.0228,0.0382,0.0476,0.0541,0.0541,0.0577,0.0577,0.0577,0.0594,0.0594,0.0591
23Na,0.00105,0.000871,0.00108,0.00342,0.00999,0.00271,0.00153,0.00193,0.0108,0.00648,0.00689,0.0147,0.0216,0.0215,0.0161,0.0368,0.0367
24Mg,0.00924,0.00821,0.0164,0.0267,0.0552,0.0251,0.0313,0.0416,0.106,0.212,0.282,0.123,0.287,0.303,0.068,0.23,0.31
25Mg,0.00138,0.00123,0.00307,0.00666,0.012,0.00938,0.00768,0.00801,0.0239,0.0253,0.0288,0.0264,0.0445,0.0443,0.0221,0.054,0.0571
26Al,1.68e-05,2e-05,2.84e-05,4.3e-05,8.14e-05,8.83e-05,3.47e-05,5.91e-05,0.000127,0.000183,0.000273,0.000133,0.000347,0.000345,0.000109,0.000251,0.000356
26Mg,0.00155,0.00169,0.0034,0.0065,0.00985,0.0114,0.0105,0.0128,0.0325,0.0324,0.0356,0.0385,0.0602,0.0599,0.0336,0.0795,0.0822
27Al,0.00119,0.00113,0.00183,0.00462,0.00998,0.00377,0.00398,0.0084,0.0244,0.0394,0.0508,0.0297,0.0636,0.0653,0.0206,0.0646,0.077
28Si,0.0217,0.0909,0.0585,0.11,0.137,0.277,0.288,0.356,0.315,0.0977,0.316,0.0416,0.112,0.429,0.0247,0.0546,0.561
29Si,0.000645,0.00109,0.00145,0.00248,0.00368,0.00429,0.00611,0.0123,0.0115,0.0239,0.0339,0.0104,0.0297,0.0324,0.0041,0.0165,0.0291
