table	metallicity	isotope	model	production_factor
13A	0.01 Z_sun	1H	T12A	0.84
13A	0.01 Z_sun	1H	T13A	0.82
13A	0.01 Z_sun	1H	T15A	0.78
13A	0.01 Z_sun	1H	T18A	0.73
13A	0.01 Z_sun	1H	T20A	0.71
13A	0.01 Z_sun	1H	T22A	0.68
13A	0.01 Z_sun	1H	T25A	0.63
13A	0.01 Z_sun	2H	T12A	0.17
13A	0.01 Z_sun	2H	T13A	0.16
13A	0.01 Z_sun	2H	T15A	0.14
13A	0.01 Z_sun	2H	T18A	0.12
13A	0.01 Z_sun	2H	T20A	0.12
13A	0.01 Z_sun	2H	T22A	0.11
13A	0.01 Z_sun	2H	T25A	0.10
13A	0.01 Z_sun	3He	T12A	1.19
13A	0.01 Z_sun	3He	T13A	1.14
13A	0.01 Z_sun	3He	T15A	1.08
13A	0.01 Z_sun	3He	T18A	1.00
13A	0.01 Z_sun	3He	T20A	0.97
13A	0.01 Z_sun	3He	T22A	0.94
13A	0.01 Z_sun	3He	T25A	0.88
13A	0.01 Z_sun	4He	T12A	1.33
13A	0.01 Z_sun	4He	T13A	1.34
13A	0.01 Z_sun	4He	T15A	1.37
13A	0.01 Z_sun	4He	T18A	1.38
13A	0.01 Z_sun	4He	T20A	1.33
13A	0.01 Z_sun	4He	T22A	1.36
13A	0.01 Z_sun	4He	T25A	1.37
13A	0.01 Z_sun	6Li	T12A	0.00
13A	0.01 Z_sun	6Li	T13A	0.00
13A	0.01 Z_sun	6Li	T15A	0.00
13A	0.01 Z_sun	6Li	T18A	0.00
13A	0.01 Z_sun	6Li	T20A	0.00
13A	0.01 Z_sun	6Li	T22A	0.00
13A	0.01 Z_sun	6Li	T25A	0.00
13A	0.01 Z_sun	7Li	T12A	5.01
13A	0.01 Z_sun	7Li	T13A	3.82
13A	0.01 Z_sun	7Li	T15A	3.05
13A	0.01 Z_sun	7Li	T18A	2.53
13A	0.01 Z_sun	7Li	T20A	1.56
13A	0.01 Z_sun	7Li	T22A	1.79
13A	0.01 Z_sun	7Li	T25A	2.15
13A	0.01 Z_sun	9Be	T12A	0.01
13A	0.01 Z_sun	9Be	T13A	0.00
13A	0.01 Z_sun	9Be	T15A	0.00
13A	0.01 Z_sun	9Be	T18A	0.00
13A	0.01 Z_sun	9Be	T20A	0.00
13A	0.01 Z_sun	9Be	T22A	0.00
13A	0.01 Z_sun	9Be	T25A	0.00
13A	0.01 Z_sun	10B	T12A	0.00
13A	0.01 Z_sun	10B	T13A	0.00
13A	0.01 Z_sun	10B	T15A	0.00
13A	0.01 Z_sun	10B	T18A	0.00
13A	0.01 Z_sun	10B	T20A	0.00
13A	0.01 Z_sun	10B	T22A	0.00
13A	0.01 Z_sun	10B	T25A	0.00
13A	0.01 Z_sun	11B	T12A	10.73
13A	0.01 Z_sun	11B	T13A	10.92
13A	0.01 Z_sun	11B	T15A	10.26
13A	0.01 Z_sun	11B	T18A	7.19
13A	0.01 Z_sun	11B	T20A	7.28
13A	0.01 Z_sun	11B	T22A	7.57
13A	0.01 Z_sun	11B	T25A	6.95
13A	0.01 Z_sun	12C	T12A	2.79
13A	0.01 Z_sun	12C	T13A	3.08
13A	0.01 Z_sun	12C	T15A	3.64
13A	0.01 Z_sun	12C	T18A	3.88
13A	0.01 Z_sun	12C	T20A	3.79
13A	0.01 Z_sun	12C	T22A	4.07
13A	0.01 Z_sun	12C	T25A	3.95
13A	0.01 Z_sun	13C	T12A	0.02
13A	0.01 Z_sun	13C	T13A	0.02
13A	0.01 Z_sun	13C	T15A	0.03
13A	0.01 Z_sun	13C	T18A	0.02
13A	0.01 Z_sun	13C	T20A	0.03
13A	0.01 Z_sun	13C	T22A	0.03
13A	0.01 Z_sun	13C	T25A	0.04
13A	0.01 Z_sun	14N	T12A	0.03
