table	isotope	S11A	S12A	S13A	S15A	S18A	S19A	S20A	S22A	S25A	S30A	S30B	S35A	S35B	S35C	S40A	S40B	S40C
6A	1H	.81	.79	.77	.72	.68	.67	.65	.62	.58								
6A	2H	.17	.16	.15	.13	.12	.12	.11	.11	.09								
6A	3He	1.24	1.18	1.16	1.08	1.02	1.01	.99	.96	.93								
6A	4He	1.39	1.39	1.41	1.39	1.40	1.37	1.35	1.36	1.36								
6A	6Li	.17	.16	.15	.13	.12	.12	.11	.11	.09								
6A	7Li	6.07	5.02	7.50	6.08	4.69	4.18	3.96	3.47	3.45								
6A	9Be	.18	.16	.15	.14	.12	.12	.11	.11	.10								
6A	10B	.31	.23	.38	.34	.16	.14	.13	.12	.11								
6A	11B	13.96	12.38	14.47	19.43	24.14	32.44	21.69	20.53	21.96								
6A	12C	1.80	2.47	3.25	3.89	5.01	5.46	3.89	3.95	4.60								
6A	13C	2.70	2.60	2.69	2.60	2.27	2.13	2.02	1.90	1.72								
6A	14N	3.41	3.03	3.65	3.58	3.15	3.02	3.00	3.03	3.11								
6A	15N	1.45	2.09	.89	2.52	2.17	1.72	1.89	2.02	2.31								
6A	16O	1.45	2.04	2.44	5.19	7.19	8.72	11.20	12.36	14.69								
6A	17O	13.71	12.64	11.80	11.16	12.97	12.72	12.14	11.73	11.30								
6A	18O	16.50	35.93	9.17	15.52	42.00	43.19	30.26	8.88	5.05								
6A	19F	3.26	7.96	1.89	6.24	13.92	3.81	3.87	5.98	14.26								
6A	20Ne	1.98	1.33	2.37	5.01	10.47	3.84	3.59	2.16	10.56								
6A	21Ne	4.43	3.53	12.03	7.97	12.32	8.41	4.99	6.28	6.61								
6A	22Ne	1.95	4.31	2.31	4.15	7.71	8.29	9.71	14.59	15.86								
6A	23Na	3.22	2.43	2.78	7.50	18.31	4.74	2.54	2.88	14.03								
6A	24Mg	1.84	1.48	2.75	3.81	6.57	2.86	3.37	4.02	8.90								
6A	25Mg	2.09	1.69	3.91	7.21	10.87	8.10	6.29	5.89	15.31								
6A	26Mg	2.07	2.05	3.81	6.17	7.83	8.66	7.50	8.25	18.23								
6A	27Al	2.11	1.82	2.72	5.83	10.53	3.80	3.80	7.21	18.26								
6A	28Si	3.41	12.95	7.72	12.40	12.85	24.77	24.46	27.14	20.89								
6A	29Si	1.93	2.97	3.64	5.32	6.57	7.32	9.89	17.80	14.55								
